reviewScore,genres,runtime,name,titleId
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
9.3,"Crime,Drama",142 min,The Shawshank Redemption,tt0111161
8.8,"Action,Adventure,Sci-Fi",148 min,Inception,tt1375666
8.9,"Crime,Drama",154 min,Pulp Fiction,tt0110912
8.8,"Adventure,Drama,Fantasy",178 min,The Lord of the Rings: The Fellowship of the Ring,tt0120737
8.9,"Adventure,Drama,Fantasy",201 min,The Lord of the Rings: The Return of the King,tt0167260
8.4,"Action,Thriller",164 min,The Dark Knight Rises,tt1345836
8.6,"Crime,Drama,Mystery",127 min,Se7en,tt0114369
8.5,"Action,Adventure,Drama",155 min,Gladiator,tt0172495
8.3,"Action,Adventure,Thriller",140 min,Batman Begins,tt0372784
8.6,"Action,Adventure,Fantasy",121 min,Star Wars: Episode IV - A New Hope,tt0076759
8.3,"Adventure,Drama,War",153 min,Inglourious Basterds,tt0361748
8.5,"Crime,Drama,Thriller",151 min,The Departed,tt0407887
8.5,"Drama,Mystery,Sci-Fi",130 min,The Prestige,tt0482571
8.8,"Action,Adventure,Fantasy",124 min,Star Wars: Episode V - The Empire Strikes Back,tt0080684
8.2,"Biography,Comedy,Crime",180 min,The Wolf of Wall Street,tt0993846
8.1,"Mystery,Thriller",138 min,Shutter Island,tt1130884
9.0,"Crime,Drama",202 min,The Godfather: Part II,tt0071562
8.2,"Action,Drama,Sci-Fi",132 min,V for Vendetta,tt0434409
7.8,"Drama,Romance",194 min,Titanic,tt0120338
8.6,"Crime,Drama,Thriller",110 min,Léon: The Professional,tt0110413
reviewScore,genres,runtime,name,titleId
7.8,"Action,Adventure,Sci-Fi",134 min,Black Panther,tt1825683
5.6,"Horror,Mystery,Sci-Fi",102 min,The Cloverfield Paradox,tt2548396
6.8,"Action,Adventure",118 min,Tomb Raider,tt1365519
6.8,"Action,Sci-Fi,Thriller",141 min,Maze Runner: The Death Cure,tt4500922
6.4,"Comedy,Fantasy,Romance",97 min,When We First Met,tt5783956
4.4,"Drama,Romance,Thriller",105 min,Fifty Shades Freed,tt4477536
6.5,"Action,Crime,Drama",105 min,The Commuter,tt1590193
5.4,"Mystery,Sci-Fi,Thriller",126 min,Mute,tt1464763
7.2,"Drama,History,Romance",164 min,Padmaavat,tt5935704
6.4,"Action,Drama",94 min,Braven,tt5001754
7.0,"Action,Drama,History",130 min,12 Strong,tt1413492
8.1,"Comedy,Drama,Romance",110 min,"Love, Simon",tt5164432
